Call_Section,GICS Sector,Tone_vs,Correlation,P-Value
Q,Communication Services,price_chng_5day,-0.13848228631199125,0.11611950323593397
Q,Communication Services,price_chng_2day,-0.1040319633755941,0.23884048157992707
Q,Communication Services,price_chng_1day,-0.1292215601078798,0.14284634218944292
A,Communication Services,price_chng_5day,-0.010398036887428937,0.8888954686926043
A,Communication Services,price_chng_2day,-0.006948941011485784,0.9256171463456468
A,Communication Services,price_chng_1day,-0.03789883300724193,0.6105027453160912
Q,Consumer Discretionary,price_chng_5day,0.09125280985323385,0.0760072393247082
Q,Consumer Discretionary,price_chng_2day,0.08440174325936069,0.10087473937575571
Q,Consumer Discretionary,price_chng_1day,0.09663538842375696,0.060179415062986186
A,Consumer Discretionary,price_chng_5day,0.08579699827893081,0.08122034328644526
A,Consumer Discretionary,price_chng_2day,0.09462996499086787,0.05436302714799022
A,Consumer Discretionary,price_chng_1day,0.10197862712230886,0.038070543632602295
Q,Information Technology,price_chng_5day,0.08213057818941807,0.04124591405916694
Q,Information Technology,price_chng_2day,0.10281334918887655,0.01054259609715849
Q,Information Technology,price_chng_1day,0.10297497294048527,0.01042070840045973
A,Information Technology,price_chng_5day,0.08213048962845496,0.029103489181803822
A,Information Technology,price_chng_2day,0.07782048239354901,0.03871405861754671
A,Information Technology,price_chng_1day,0.06912639998406879,0.06640563459323273
Q,Real Estate,price_chng_5day,0.12581795900531967,0.06430372550003091
Q,Real Estate,price_chng_2day,0.08818396401971282,0.19564795580235064
Q,Real Estate,price_chng_1day,0.08169534708516,0.23072192676951034
A,Real Estate,price_chng_5day,-0.024037776608949082,0.712758748318746
A,Real Estate,price_chng_2day,-0.02217192294875902,0.7341807461947243
A,Real Estate,price_chng_1day,0.010876127124909655,0.8677197916020905
Q,,price_chng_5day,,
Q,,price_chng_2day,,
Q,,price_chng_1day,,
A,,price_chng_5day,,
A,,price_chng_2day,,
A,,price_chng_1day,,
Q,Utilities,price_chng_5day,0.04601051846614253,0.5961788234595177
Q,Utilities,price_chng_2day,0.01114173900611926,0.8979467904779442
Q,Utilities,price_chng_1day,-0.0009371097575782,0.9913933988000585
A,Utilities,price_chng_5day,0.003261075251524011,0.9639114047928461
A,Utilities,price_chng_2day,0.014957230888705523,0.8355919680992375
A,Utilities,price_chng_1day,0.057578710542351225,0.4239790188990253
Q,Energy,price_chng_5day,0.011424362033104263,0.8896450795461787
Q,Energy,price_chng_2day,0.002262924554541904,0.9780743094335744
Q,Energy,price_chng_1day,0.007595877129421519,0.9264968678080456
A,Energy,price_chng_5day,0.06833692653074039,0.3620241714644641
A,Energy,price_chng_2day,0.042801981981275126,0.5683320088339874
A,Energy,price_chng_1day,0.06020728494529283,0.42205179653070524
Q,Industrials,price_chng_5day,0.1442566734104648,0.00023977558365026417
Q,Industrials,price_chng_2day,0.14584720153772118,0.00020411125648583613
Q,Industrials,price_chng_1day,0.1611219352703672,3.9954848080685415e-05
A,Industrials,price_chng_5day,0.061213691183564053,0.1084113636694965
A,Industrials,price_chng_2day,0.061977755141872974,0.10406644425872177
A,Industrials,price_chng_1day,0.06126918901944521,0.1080910213685051
Q,Health Care,price_chng_5day,0.09272169455017795,0.066322409194764
Q,Health Care,price_chng_2day,0.08095279116785514,0.10907924263939746
Q,Health Care,price_chng_1day,0.05785287871885132,0.25254321093758003
A,Health Care,price_chng_5day,0.1023151769753158,0.01453367009833641
A,Health Care,price_chng_2day,0.10956682316257445,0.00884427137684737
A,Health Care,price_chng_1day,0.12235741952998949,0.0034353709973033884
Q,Financials,price_chng_5day,0.006432360497045161,0.881670410248843
Q,Financials,price_chng_2day,0.030076886791973085,0.4863267099509171
Q,Financials,price_chng_1day,0.0388953398867574,0.36790047086642547
A,Financials,price_chng_5day,0.03254841931665577,0.42964333112392894
A,Financials,price_chng_2day,0.044167291862522384,0.28372967766396895
A,Financials,price_chng_1day,0.05841822139623809,0.15607970675444469
Q,Materials,price_chng_5day,0.20028853156971654,0.00466659449678413
Q,Materials,price_chng_2day,0.19892696255269893,0.004960893262211984
Q,Materials,price_chng_1day,0.18704932873422098,0.008322882879784324
A,Materials,price_chng_5day,0.12369146022247046,0.08412401417069643
A,Materials,price_chng_2day,0.11558092163757204,0.10670239738011819
A,Materials,price_chng_1day,0.08191801826653167,0.25368849628149465
Q,Consumer Staples,price_chng_5day,0.041732193111651536,0.47595693307452497
Q,Consumer Staples,price_chng_2day,0.05309352492751241,0.36434011290823404
Q,Consumer Staples,price_chng_1day,0.046509471575698486,0.42690202343162686
A,Consumer Staples,price_chng_5day,0.06583752873440073,0.24097536179779885
A,Consumer Staples,price_chng_2day,0.0802604141868146,0.1526660293620595
A,Consumer Staples,price_chng_1day,0.07662911341641895,0.1721665627560663
